STEP,LAPV,TENG,LAPM,prevF,nextF,MV_STEP,ratio,trend,IMG_PATH,due
1,251.33123,10097.56226,5.57582,251.33123,253.93729,4,0,down,/home/pi/arducam/album/IMG_1586287564.png,big
2,253.93729,10192.56735,5.61917,251.33123,314.95798,3,1.010369025767311,up,/home/pi/arducam/album/IMG_1586287566.png,big
3,314.95798,10838.07681,6.13424,253.93729,724.4944,2,1.2402982641895566,up,/home/pi/arducam/album/IMG_1586287568.png,small
4,724.4944,14143.70669,9.16528,314.95798,1194.77748,1,2.3002890734821198,up,/home/pi/arducam/album/IMG_1586287570.png,small
5,1194.77748,16415.26788,11.35394,724.4944,957.72307,0,1.6491189994015136,up,/home/pi/arducam/album/IMG_1586287572.png,small
6,957.72307,14134.46775,9.78335,1194.77748,420.52686,-1,0.8015911632348477,up,/home/pi/arducam/album/IMG_1586287574.png,small
7,420.52686,11094.97447,6.61637,957.72307,179.6633,-2,0.43909024766418125,down,/home/pi/arducam/album/IMG_1586287575.png,small
8,179.6633,8364.37853,4.71141,420.52686,121.08379,-3,0.42723382758475875,down,/home/pi/arducam/album/IMG_1586287577.png,big
9,121.08379,7128.46991,4.02497,179.6633,119.46119,-4,0.6739483801087924,down,/home/pi/arducam/album/IMG_1586287579.png,big
10,119.46119,7087.90218,3.98806,121.08379,119.46119,-5,0.9865993623093563,down,/home/pi/arducam/album/IMG_1586287581.png,big
1,100.29171,5514.68988,2.34239,100.29171,99.9697,4,0,down,/home/pi/arducam/album/IMG_1586287595.png,big
2,99.9697,5510.14806,2.33039,100.29171,131.01339,3,0.996789266032058,up,/home/pi/arducam/album/IMG_1586287596.png,big
3,131.01339,6293.43081,2.57957,99.9697,526.90866,2,1.3105309908902396,down,/home/pi/arducam/album/IMG_1586287598.png,small
4,526.90866,12288.81221,4.54963,131.01339,1160.89289,1,4.021792429002868,up,/home/pi/arducam/album/IMG_1586287600.png,small
5,1160.89289,15885.90635,5.95271,526.90866,493.39621,0,2.2032146710209695,up,/home/pi/arducam/album/IMG_1586287602.png,small
6,493.39621,11843.39121,4.38351,1160.89289,183.02637,-1,0.4250144128283876,up,/home/pi/arducam/album/IMG_1586287604.png,small
7,183.02637,7645.48315,2.90497,493.39621,69.03997,-2,0.37095211979840703,down,/home/pi/arducam/album/IMG_1586287605.png,small
8,69.03997,4542.77845,2.05272,183.02637,45.22631,-3,0.3772132398189398,down,/home/pi/arducam/album/IMG_1586287607.png,big
9,45.22631,3654.64295,1.79667,69.03997,44.91538,-4,0.6550742997136296,down,/home/pi/arducam/album/IMG_1586287609.png,big
10,44.91538,3644.03184,1.79314,45.22631,44.91538,-5,0.9931250194853394,down,/home/pi/arducam/album/IMG_1586287611.png,big
1,666.78538,16227.29461,8.98586,666.78538,663.68972,2,0,down,/home/pi/arducam/album/IMG_1586287641.png,small
2,663.68972,16176.67257,9.04871,666.78538,709.94045,1,0.9953573367190504,up,/home/pi/arducam/album/IMG_1586287643.png,small
3,709.94045,16331.19313,9.51428,663.68972,637.78504,0,1.0696872779647695,down,/home/pi/arducam/album/IMG_1586287645.png,small
4,637.78504,15913.56053,8.42485,709.94045,280.51201,-1,0.8983641374427953,up,/home/pi/arducam/album/IMG_1586287647.png,small
5,280.51201,13184.35787,6.03047,637.78504,172.27025,-2,0.4398221852303089,down,/home/pi/arducam/album/IMG_1586287648.png,small
6,172.27025,9468.50917,4.42529,280.51201,107.11445,-3,0.6141278942031752,down,/home/pi/arducam/album/IMG_1586287650.png,big
7,107.11445,7468.7672,3.5859,172.27025,78.95558,-4,0.6217814741663171,down,/home/pi/arducam/album/IMG_1586287652.png,big
8,78.95558,6213.76092,3.07172,107.11445,70.68276,-5,0.737114180206312,down,/home/pi/arducam/album/IMG_1586287654.png,big
9,70.68276,5652.73707,2.84648,78.95558,70.03062,-6,0.8952218449918297,down,/home/pi/arducam/album/IMG_1586287656.png,big
10,70.03062,5620.01045,2.83371,70.68276,70.03062,-7,0.9907737049317259,down,/home/pi/arducam/album/IMG_1586287658.png,big
1,648.8602,16089.89729,6.54465,648.8602,636.44727,3,0,up,/home/pi/arducam/album/IMG_1586287679.png,big
2,636.44727,16071.80245,6.51694,648.8602,683.28971,2,0.9808696387912219,up,/home/pi/arducam/album/IMG_1586287681.png,small
3,683.28971,16278.27737,6.98178,636.44727,762.36962,1,1.0735998757603282,down,/home/pi/arducam/album/IMG_1586287683.png,small
4,762.36962,16807.99737,6.9549,683.28971,271.43299,0,1.115734085912109,up,/home/pi/arducam/album/IMG_1586287684.png,small
5,271.43299,13282.52951,4.00517,762.36962,165.70449,-1,0.35603857089688334,up,/home/pi/arducam/album/IMG_1586287686.png,small
6,165.70449,11225.26604,3.39392,271.43299,115.81215,-2,0.6104802883393061,down,/home/pi/arducam/album/IMG_1586287688.png,small
7,115.81215,9551.11963,2.86118,165.70449,78.65765,-3,0.6989077362961016,down,/home/pi/arducam/album/IMG_1586287690.png,big
8,78.65765,8443.16268,2.43409,115.81215,65.98525,-4,0.6791830563546226,down,/home/pi/arducam/album/IMG_1586287692.png,big
9,65.98525,7958.96843,2.26713,78.65765,66.32012,-5,0.8388917034770298,down,/home/pi/arducam/album/IMG_1586287693.png,big
10,66.32012,7992.15689,2.23616,65.98525,66.32012,-6,1.0050749220469728,down,/home/pi/arducam/album/IMG_1586287695.png,big
1,552.74315,14374.98791,7.23324,552.74315,559.95277,2,0,down,/home/pi/arducam/album/IMG_1586288524.png,small
2,559.95277,14671.60713,7.23455,552.74315,623.61142,1,1.0130433457203405,up,/home/pi/arducam/album/IMG_1586288526.png,small
3,623.61142,14958.65053,7.63357,559.95277,575.31021,0,1.113685748889143,up,/home/pi/arducam/album/IMG_1586288528.png,small
4,575.31021,15414.16793,7.07263,623.61142,261.3493,-1,0.9225459822400303,up,/home/pi/arducam/album/IMG_1586288530.png,small
5,261.3493,13087.88945,4.7498,575.31021,173.72904,-2,0.454275442113221,down,/home/pi/arducam/album/IMG_1586288531.png,small
6,173.72904,10508.03399,3.6697,261.3493,121.28067,-3,0.6647388762854922,down,/home/pi/arducam/album/IMG_1586288533.png,big
7,121.28067,8422.60282,3.18209,173.72904,88.29232,-4,0.6981024588635268,down,/home/pi/arducam/album/IMG_1586288535.png,big
8,88.29232,7298.4655,2.74477,121.28067,76.97159,-5,0.7279999360161846,down,/home/pi/arducam/album/IMG_1586288537.png,big
9,76.97159,6790.5412,2.56366,88.29232,76.01545,-6,0.8717812602500422,down,/home/pi/arducam/album/IMG_1586288539.png,big
10,76.01545,6754.601,2.54433,76.97159,76.01545,-7,0.987578014173801,down,/home/pi/arducam/album/IMG_1586288541.png,big
1,114.55268,5698.54842,2.66851,114.55268,113.97864,4,0,down,/home/pi/arducam/album/IMG_1586288555.png,big
2,113.97864,5676.05964,2.66411,114.55268,135.9578,3,0.9949888557823353,up,/home/pi/arducam/album/IMG_1586288557.png,big
3,135.9578,6261.06332,2.92953,113.97864,446.13058,2,1.192835780458514,down,/home/pi/arducam/album/IMG_1586288559.png,small
4,446.13058,10595.76926,4.93677,135.9578,1565.8052,1,3.2813901078128658,up,/home/pi/arducam/album/IMG_1586288561.png,small
5,1565.8052,15506.02468,7.83721,446.13058,826.1905,0,3.5097464065341586,up,/home/pi/arducam/album/IMG_1586288562.png,small
6,826.1905,12891.73842,6.3726,1565.8052,204.14604,-1,0.5276457761157007,up,/home/pi/arducam/album/IMG_1586288564.png,small
7,204.14604,8644.38027,4.05398,826.1905,81.39602,-2,0.24709318250451923,down,/home/pi/arducam/album/IMG_1586288566.png,small
8,81.39602,5867.11198,2.70934,204.14604,60.47824,-3,0.39871466524650684,down,/home/pi/arducam/album/IMG_1586288568.png,big
9,60.47824,5086.19258,2.32375,81.39602,59.59565,-4,0.743012250476129,down,/home/pi/arducam/album/IMG_1586288570.png,big
10,59.59565,5048.84776,2.31966,60.47824,59.59565,-5,0.9854064866967028,down,/home/pi/arducam/album/IMG_1586288571.png,big
1,27.88176,2156.2075,1.07411,27.88176,27.81307,5,0,down,/home/pi/arducam/album/IMG_1586288600.png,big
2,27.81307,2181.48204,1.07631,27.88176,29.84059,4,0.9975363822082968,down,/home/pi/arducam/album/IMG_1586288601.png,big
3,29.84059,2286.08889,1.13441,27.81307,57.03606,3,1.072898101504077,down,/home/pi/arducam/album/IMG_1586288603.png,big
4,57.03606,3421.08577,1.50642,29.84059,162.55934,2,1.911358320998345,up,/home/pi/arducam/album/IMG_1586288605.png,small
5,162.55934,5048.25531,2.17849,57.03606,266.02831,1,2.850115172752115,up,/home/pi/arducam/album/IMG_1586288607.png,small
6,266.02831,6380.45094,2.80423,162.55934,264.37636,0,1.636499692973655,up,/home/pi/arducam/album/IMG_1586288609.png,small
7,264.37636,6638.01582,2.84094,266.02831,160.90695,-1,0.9937903225412363,up,/home/pi/arducam/album/IMG_1586288610.png,small
8,160.90695,5730.28745,2.34752,264.37636,114.69264,-2,0.6086283584508085,down,/home/pi/arducam/album/IMG_1586288612.png,small
9,114.69264,5083.93947,2.06433,160.90695,112.71483,-3,0.712788602356828,down,/home/pi/arducam/album/IMG_1586288614.png,big
10,112.71483,5054.59702,2.04802,114.69264,112.71483,-4,0.9827555630422319,down,/home/pi/arducam/album/IMG_1586288616.png,big
1,492.81146,12409.44481,6.45418,492.81146,493.55263,2,0,down,/home/pi/arducam/album/IMG_1586288640.png,small
2,493.55263,12485.94005,6.42576,492.81146,526.17073,1,1.0015039625904805,up,/home/pi/arducam/album/IMG_1586288642.png,small
3,526.17073,12676.34392,6.59612,493.55263,479.32569,0,1.0660883926401121,up,/home/pi/arducam/album/IMG_1586288644.png,small
4,479.32569,11982.67709,5.76518,526.17073,214.25529,-1,0.9109698861432295,up,/home/pi/arducam/album/IMG_1586288646.png,small
